Unnamed: 0,street_name,street_alias
3588,thu khoa huan,
3596,vu pham ham,
3598,hang voi,
3599,phan ke binh,
3600,nguyen viet xuan,
3601,n10,
3604,phuong thach ban,
3611,le thuc hoach,
3618,am chua,
3635,go o moi,
3638,ung van khiem,
3639,thanh trung,
3646,ong tac,
3655,hien luong hien ninh c n,
3672,nguyen chi thanh lieu giai,
3673,cao toc long phuoc,
3674,tl 830,
3676,thanh xuan 43,
3678,21b,
3682,ai thang,
3683,ai kim,
3689,phu luong,
3691,hang bong,
3693,ang 2,
3694,tinh lo 281,
3695,tho thap,
3704,mau luong,
3708,862,
3710,37,
3718,nhan hoa,
3721,at,
3725,thanh n,
3735,quoc lo a nang,
3740,tu,
3741,minh khai vinh tuy,
3742,t 724,
3744,trang ai,
3747,ql32,
3748,tran nhat uat,
3751,thanh loc 41,
3756,hoa hao,
3759,le quang kim,
3762,nguyen khoai,
3765,phung chi kien,
3770,yen ninh,
3771,tinh lo 131,
3778,tan chanh hiep 10,
3780,hat giang,
3781,tran thi co,
3782,thoi an 11,
3783,hiep thanh 17,
3787,thang loi,
3791,tang bat ho,
3793,la noi,
3794,men,
3796,nguyen van qua,
3798,20,
3800,chua g,
3807,inh cong thuong,
3809,pham van ieu,
3814,tien,
3825,11m5,
3834,trung n tram,
3835,me tri tu liem,
3837,phu binh lac long quan,
3853,e la thanh,
3863,nguyen thi kieu,
3864,thuong inh,
3868,at thanh,
3870,52,
3871,916,
3872,mang nuoc,
3881,go cong,
3882,nguyen quy uc,
3893,ql5b,
3895,inh hoi,
3897,ong u,
3899,o 10,
3904,ql 14,
3905,cao toc au giay,
3908,quoc lo 14e,
3909,vu inh long,
3912,tran van u,
3917,van tri,
3920,quoc lo 21a,
3922,ql 19b,
3925,tham quan,
3930,quoc lo 14b,
3931,402,
3932,le thanh nghi,
3935,chu huy man,
3943,lai hung,
3945,ngo thoi nhiem,
3950,trung an,
3951,tan phuoc,
3969,phuong trung hoa,
3972,le van sy quan,
3973,3 thang 2,
3983,ai lo ton uc thang,
3984,ha o,
3987,to vinh ien,
3989,tran inh xu,
3993,100 me linh,
3995,le quang ao phu,
