Unnamed: 0,individual,alias
3117,ban chcc res green tower,
3119,ban chcc richstar,
3122,"landmark 81, astral city",
3125,x1 dia,
3127,truong luu,
3135,ngo thi nham,
3136,tan yen,
3137,eco town,
3144,eco green city nguyen,
3146,"vung tau pearl, vung tau",
3156,"bay, thanh long bay",
3163,dong vang phu man,
3164,ia20,
3167,2mt,
3171,louis dai mo,
3172,"13b conic, conic",
3180,sai gon airport plaza,
3182,my dinh,
3183,bien hoa new city,
3187,viglacera xuan phuong,
3193,an thuong,
3194,the terra an hung,
3195,sunrise central,
3196,"thuy van akaland, charm resort ho tram",
3197,tecco elite city,
3203,anland,
3204,phuoc loi,
3207,"cc anland lakeview, duong noi",
3208,gamuda botanic,
3223,"everrich infinity, everrich",
3227,zen tower,
3231,tam ky,
3239,ivory villas &,
3240,king crown infinity,
3245,panorama,
3247,gp invest building,
3250,eurowindow river park dong anh,
3252,200m2 re nhat goi,
3253,gamuda gardens,
3254,"landmark, bitexco, khuong viet",
3255,vsip 2 mo rong,
3266,"ha tay thien nien ky, thap thien nien ky",
3269,thuan phuoc,
3271,"nam thang long, ciputra",
3273,ten lua,
3274,"bien hoa universe complex, universe complex song",
3275,"sala dai quang minh, sarimi",
3279,hotel,
3287,"sadora, sadora apartment, bitexco",
3289,"maia quy nhon resort, bien, fusion maia quy nhon, maia quy nhon, the ocean villas quy nhon",
3294,"vinhomes ba son, vinhomes golden river",
3295,"shophouse thuong mai shophouse sarina dai quang minh, shophouse sala, shophouse sarina",
3297,sai gon mia,
3301,"duong noi nam cuong, an khang, nam cuong duong noi, an phu shop villa",
3304,richta house,
3307,khu nha o xa hoi dong anh,
3308,phu thinh green park,
3309,chanh,
3314,"happy valley, phu my hung, midtown, hung phuc property",
3316,"block cc, saigon riverside, grand nest khai vy",
3317,cotec phu xuan,
3318,"era town, riverside",
3319,khai son,
3324,hoa lac,
3326,"mat bien, grand bay ha long",
3327,louis,
3329,"sonasea van, homeliday sonasea van don, sonasea van don",
3330,"the victoria, van phu",
3337,ruby tower,
3340,an phu tay,
3341,viet hung long bien,
3344,thoi an city quan,
3345,danko city thai nguyen,
3346,quoc linh diamond city,
3348,"phu dong, sen viet",
3349,gem sky world,
3351,"thanh ha muong thanh, thanh ha",
3354,the sky,
3355,shophouse the center,
3358,center point,
3360,"villa, vinh diem trung, cong vien",
3367,la casta,
3375,bcons garden,
3378,tay ho river view,
3381,phu vinh phu cuong,
3382,"q7 saigon riverside, q7 sai gon riverside",
3383,"q7 sai gon riverside, riverside",
3385,mega city kontum,
3387,"vinhomes mong cai, vinhomes golden avenue",
3390,don lap vinhomes riverside,
3395,"hoa binh, midtown, midtown phu my hung viet nam, phu my hung, midtown mattan, the peak midtown, the peak",
3399,eco green,
3402,dabaco,
3406,bac linh dam,
3413,the marq,
3414,"saigon pearl, bitexco",
3415,"hung phuc, phu my hung, happy residence",
3416,"midtown phu my hung, phu my hung, midtown",
3419,"midtown sakura pmh, midtown, the signature",
3424,new horizon,
3427,botanic,
3428,binh son,
3433,thanh lien wynham,
3434,"& villas, huong sen",
3436,vuon vua resort & villas,
3443,kim quan thuong - viet hung,
3445,nam phu ngay,
3451,van phu invest dong yen,
3453,west lakes golf and villas,
3454,west lakes golf & villas,
3459,dinh thi thi thu duc,
3464,da nang,
3470,"phu man, komi laxury",
3472,phuoc long nha trang,
3480,"thong minh, tecco home, tecco home lien",
3481,"my khe angkora park, my khe angkora park quang ngai",
3486,chi linh 1,
3488,"chi linh 1, seaview",
3492,"vinhomes ocean park gia, vinhomes ocean park",
3507,duc trong xot,
3510,citizen,
3518,nam dao,
3521,nam dao phu quoc,
3536,vinhomes grand park,
3539,dao duy tu,
3542,chdv,
3545,de capella,
3546,him lam hung vuong,
3547,"hoang anh river view, landmark 81",
3549,louis city hoang mai,
3553,regal one river,
3554,"melosa khang dien, compound",
3558,the manor my dinh me tri,
3562,melody residence,
3566,khe angkora park,
3567,vista verde,
3569,ehome ii,
